"","subnum","condition","subnum","condition","task","order","trial","interference","date","max","exponent","threshold","correct","rt1","rt2","r","addends","sum","digits","int_score","trial_time","dot","dob","age","gender","abacus_q","finger.counter","male","gender.12"
"1","2","baseline",2,NA,NA,3,19,0,NA,16.6210344827586,1.2,10.2758620689655,0.724137931034483,8.24,9.13862068965517,31.9310344827586,1,33,NA,-1,12.1348275862069,NA,NA,12.88158795,NA,NA,0,0,1
"2","3","baseline",3,NA,NA,4,18,0,NA,16.0775862068966,1.2,9.86206896551724,0.827586206896552,8.84896551724138,9.69551724137931,35.4137931034483,1,35.1379310344828,NA,-1,12.6927586206897,NA,NA,12.09308693,NA,NA,0,1,2
"3","4","baseline",4,NA,NA,2,14.5,0,NA,15.1,1.2,9.40909090909091,0.863636363636364,11.445,12.1263636363636,29.7727272727273,1,30,NA,-1,15.1163636363636,NA,NA,12.20807666,NA,NA,0,0,1
"4","5","baseline",5,NA,NA,1,19,0,NA,26.3293548387097,1.2,14.9354838709677,0.870967741935484,6.06161290322581,6.82483870967742,52.0645161290323,1,51.3870967741936,NA,-1,9.91838709677419,NA,NA,12.24640657,NA,NA,0,1,2
"7","8","baseline",8,NA,NA,2,16,0,NA,19.5324,1.2,11.68,0.8,13.6848,14.116,38.12,1,40.96,NA,-1,17.046,NA,NA,12.47364819,NA,NA,0,1,2
"9","10","baseline",10,NA,NA,1,20.5,0,NA,28.315,1.2,15.8529411764706,0.882352941176471,6.40176470588235,7.09735294117647,53.0588235294118,1,58.7058823529412,NA,-1,10.1673529411765,NA,NA,12.87611225,NA,NA,0,0,1
"10","11","baseline",11,NA,NA,1,10,0,NA,12.4546153846154,1.2,8,1,2.95307692307692,3.52,25.0769230769231,1,25.0769230769231,NA,-1,6.40307692307692,NA,NA,12.85147159,NA,NA,0,0,1
"12","13","baseline",13,NA,NA,2,20,0,NA,14.17,1.2,9.03030303030303,0.666666666666667,5.41242424242424,6.08454545454545,28.1515151515152,1,30,NA,-1,9.06787878787879,NA,NA,12.31506849,NA,NA,0,0,1
"13","14","baseline",14,NA,NA,1,17.5,0,NA,22.9039285714286,1.2,13.2857142857143,0.892857142857143,6.47785714285714,7.515,47.0714285714286,1,48.0714285714286,NA,-1,10.8425,NA,NA,12.15068493,NA,NA,0,0,1
"17","18","baseline",18,NA,NA,3,14.5,0,NA,18.105,1.2,10.9545454545455,0.863636363636364,15.4495454545455,16.1818181818182,35.3181818181818,1,38.1363636363636,NA,-1,22.8463636363636,NA,NA,12.24366872,NA,NA,0,1,2
"18","19","baseline",19,NA,NA,4,19.5,0,NA,24.3940625,1.2,14,0.875,4.2178125,4.9978125,51.3125,1,50.90625,NA,-1,11.7559375,NA,NA,12.74469541,NA,NA,0,1,2
